cluster	id	name
cluster_075	transfac_motifs_motif325_n325,transfac_motifs_motif87_n87,transfac_motifs_motif598_n598,transfac_motifs_motif846_n846,transfac_motifs_motif555_n555,transfac_motifs_motif289_n289,transfac_motifs_motif331_n331,transfac_motifs_motif327_n327,transfac_motifs_motif467_n467	motif325|Ornament:PABPN1_7mer_logoM148,Attract:PABPN1_M148_0.6,Ray2013:RNCMPT00157_PABPN1,CISBP:PABPN1_PABPN1L_M148_0.6,motif87|Ornament:PABPN1L_7mer_logo1,motif598|Attract:IGHMBP2_327,Attract:PABPC1_416,motif846|Attract:AGO2_414,motif555|Attract:KHDRBS3_s103,motif289|Ornament:SART3_7mer_logoM062,Attract:SART3_M062_0.6,Ray2013:RNCMPT00064_SART3,CISBP:SART3_M062_0.6,motif331|Ornament:PABPC1_7mer_logoM146,Attract:PABPC1_M146_0.6,Ray2013:RNCMPT00155_PABPC1,CISBP:PABPC1_PABPC1L_M146_0.6,motif327|Ornament:PABPC4_7mer_logoM042,Attract:PABPC4_M042_0.6,Ray2013:RNCMPT00043_PABPC4,CISBP:PABPC4_ENSG00000250177_M042_0.6,motif467|Attract:IGHMBP2_581,Attract:SYNCRIP_1062,Attract:FMR1_607,Attract:SYNCRIP_1064,Attract:HNRNPU_1067,Attract:ELAVL4_1099,Attract:HNRNPD_740,Attract:PABPC1_452,Attract:DAZAP1_594,Attract:HNRNPK_1038,Attract:FUS_1058,Attract:HNRNPU_1070,Attract:HNRNPA1_685,Attract:RBM5_1151,Attract:PABPC1_480,Attract:PCBP1_771,Attract:SYNCRIP_1066
cluster_076	transfac_motifs_motif658_n658,transfac_motifs_motif672_n672,transfac_motifs_motif809_n809,transfac_motifs_motif38_n38,transfac_motifs_motif71_n71	motif658|Attract:NOVA1_s27,Attract:NOVA2_s28,motif672|Attract:NOVA2_492,motif809|Attract:NOVA2_1133,motif38|Attract:NOVA1_99,motif71|Attract:NOVA1
cluster_077	transfac_motifs_motif764_n764,transfac_motifs_motif164_n164,transfac_motifs_motif84_n84	motif764|Attract:SRSF5_s19,motif164|Ornament:RBM22_7mer_logo0,motif84|Attract:SRSF6_1384
cluster_078	transfac_motifs_motif556_n556,transfac_motifs_motif623_n623,transfac_motifs_motif801_n801,transfac_motifs_motif108_n108,transfac_motifs_motif503_n503	motif556|Attract:SF1_1195,motif623|Attract:SF1_1202,Attract:SF1_1184,motif801|Attract:SRP68_570,Attract:SSB_457,motif108|CISBP:MBNL1_M320_0.6,motif503|Attract:MBNL1_M320_0.6a
cluster_079	transfac_motifs_motif976_n976,transfac_motifs_motif126_n126,transfac_motifs_motif109_n109,transfac_motifs_motif651_n651	motif976|Attract:ERI1_412,motif126|Ornament:PCBP2_7mer_logo4,motif109|Ornament:PCBP1_7mer_logo3,motif651|Ornament:HNRNPK_7mer_logo0
cluster_080	transfac_motifs_motif927_n927,transfac_motifs_motif991_n991,transfac_motifs_motif509_n509,transfac_motifs_motif812_n812	motif927|Attract:SRSF3_1255,motif991|Attract:SRSF3_s40,motif509|Attract:SRSF7_591,Attract:SRSF3_1246,motif812|Attract:SRSF3_1248
cluster_081	transfac_motifs_motif793_n793,transfac_motifs_motif481_n481,transfac_motifs_motif679_n679	motif793|Attract:HNRNPA1_688,motif481|Attract:SRSF2_1168,motif679|Attract:SRSF2_1172
cluster_082	transfac_motifs_motif622_n622,transfac_motifs_motif536_n536,transfac_motifs_motif486_n486,transfac_motifs_motif443_n443,transfac_motifs_motif913_n913	motif622|Attract:SRP19_471,Attract:SRP54_510,Attract:SRP68_501,motif536|Attract:KHSRP_1114,motif486|Attract:HNRNPH1_892,Attract:HNRNPH3_989,Attract:HNRNPF_828,Attract:HNRNPH2_944,motif443|Attract:HNRNPF_811,Attract:HNRNPH2_909,Attract:HNRNPH1_855,Attract:HNRNPH2_917,Attract:HNRNPH2_919,Attract:HNRNPH1_863,Attract:HNRNPH3_960,Attract:HNRNPF_826,Attract:HNRNPH3_965,Attract:HNRNPH1_865,motif913|Attract:KHSRP_13
cluster_083	transfac_motifs_motif434_n434,transfac_motifs_motif568_n568,transfac_motifs_motif689_n689,transfac_motifs_motif987_n987	motif434|Attract:HNRNPH1_901,Attract:HNRNPH3_987,Attract:HNRNPF_837,Attract:HNRNPH2_953,motif568|Attract:HNRNPF_838,Attract:HNRNPH1_902,Attract:HNRNPH2_954,Attract:HNRNPH3_988,motif689|Attract:HNRNPA1_659,motif987|Attract:SRSF1_1212,Attract:SRSF1_1373
cluster_084	transfac_motifs_motif472_n472,transfac_motifs_motif118_n118,transfac_motifs_motif86_n86,transfac_motifs_motif768_n768,transfac_motifs_motif282_n282,transfac_motifs_motif897_n897,transfac_motifs_motif281_n281,transfac_motifs_motif30_n30	motif472|Attract:SNRPB2_504,motif118|CISBP:SNRPA_M317_0.6,motif86|CISBP:SNRPB2_M136_0.6,motif768|Attract:SNRPA_346,motif282|Ornament:SNRPA_7mer_logoM318,CISBP:SNRPA_M318_0.6,motif897|Attract:SNRPA_518,motif281|Ornament:SNRPA_7mer_logoM319,CISBP:SNRPA_M319_0.6,motif30|Attract:SNRPA_M319_0.6
cluster_085	transfac_motifs_motif831_n831,transfac_motifs_motif105_n105,transfac_motifs_motif490_n490,transfac_motifs_motif419_n419,transfac_motifs_motif54_n54,transfac_motifs_motif430_n430,transfac_motifs_motif459_n459	motif831|Attract:DDX58_381,motif105|CISBP:FUS_TAF15_M316_0.6,motif490|Attract:FUS_M316_0.6,motif419|Attract:HNRNPH3_984,Attract:HNRNPF_834,Attract:HNRNPF_808,Attract:HNRNPH2_950,Attract:HNRNPH2_914,Attract:HNRNPH1_898,Attract:HNRNPH1_860,motif54|Attract:HNRNPH1_1387,motif430|Attract:HNRNPH1_880,Attract:HNRNPH2_918,Attract:HNRNPH2_932,Attract:HNRNPH1_864,Attract:HNRNPF_812,motif459|Attract:HNRNPH3_967,Attract:HNRNPH1_862,Attract:HNRNPH1_867,Attract:HNRNPH2_921,Attract:HNRNPH2_916,Attract:HNRNPF_827,Attract:HNRNPF_810
cluster_086	transfac_motifs_motif254_n254,transfac_motifs_motif433_n433	motif254|Ornament:ZNF326_7mer_logo0,motif433|Attract:HNRNPA1_660
cluster_087	transfac_motifs_motif18_n18,transfac_motifs_motif748_n748,transfac_motifs_motif230_n230,transfac_motifs_motif905_n905	motif18|Attract:TARDBP_1278,motif748|Attract:TARDBP_1277,motif230|Ornament:DAZ3_7mer_logo1,motif905|Attract:TARDBP_1276
cluster_088	transfac_motifs_motif291_n291,transfac_motifs_motif47_n47,transfac_motifs_motif652_n652,transfac_motifs_motif907_n907	motif291|Ornament:EIF4G2_7mer_logo0,motif47|Attract:SRSF2_1323,motif652|Attract:FMR1_450,motif907|Ornament:MBNL1_7mer_logo1
cluster_089	transfac_motifs_motif85_n85,transfac_motifs_motif234_n234,transfac_motifs_motif233_n233,transfac_motifs_motif304_n304	motif85|CISBP:MEX3C_MEX3D_MEX3B_M122_0.6,motif234|Ornament:TARDBP_7mer_logo0,motif233|Ornament:TARDBP_7mer_logo1,motif304|Ornament:RBM24_7mer_logoM175,Attract:RBM24_M175_0.6,Ray2013:RNCMPT00184_RBM24,CISBP:RBM24_M175_0.6
cluster_090	transfac_motifs_motif870_n870,transfac_motifs_motif531_n531,transfac_motifs_motif641_n641	motif870|Attract:ELAVL4_s93,motif531|Attract:PUM1_137,motif641|Attract:PUM1_74
cluster_091	transfac_motifs_motif631_n631,transfac_motifs_motif919_n919,transfac_motifs_motif381_n381,transfac_motifs_motif884_n884	motif631|Attract:NUDT21_420,Attract:NUDT21_575,motif919|Attract:NUDT21_499,motif381|Ornament:FUBP1_7mer_logo1,motif884|Ornament:KHSRP_7mer_logo0
cluster_092	transfac_motifs_motif322_n322,transfac_motifs_motif129_n129,transfac_motifs_motif134_n134,transfac_motifs_motif130_n130,transfac_motifs_motif856_n856,transfac_motifs_motif350_n350,transfac_motifs_motif158_n158,transfac_motifs_motif121_n121,transfac_motifs_motif323_n323	motif322|Ornament:PCBP2_7mer_logoM043,Attract:PCBP2_M043_0.6,Ray2013:RNCMPT00044_PCBP2,CISBP:PCBP2_M043_0.6,motif129|Ornament:PCBP2_7mer_logo1,motif134|Ornament:PCBP4_7mer_logo0,motif130|Ornament:PCBP2_7mer_logo0,motif856|Attract:PCBP1_748,Attract:PCBP2_778,motif350|Ornament:hnRNPK_7mer_logoM026,Attract:HNRNPK_M026_0.6,Ray2013:RNCMPT00026_HNRNPK,CISBP:hnRNPK_M026_0.6,motif158|Ornament:RBM6_7mer_logo1,motif121|Ornament:PCBP1_7mer_logo2,motif323|Ornament:PCBP1_7mer_logoM177,Attract:PCBP1_M177_0.6,Ray2013:RNCMPT00186_PCBP1,CISBP:PCBP1_M177_0.6
cluster_093	transfac_motifs_motif208_n208,transfac_motifs_motif570_n570,transfac_motifs_motif534_n534,transfac_motifs_motif280_n280,transfac_motifs_motif805_n805,transfac_motifs_motif339_n339,transfac_motifs_motif941_n941,transfac_motifs_motif224_n224,transfac_motifs_motif686_n686,transfac_motifs_motif788_n788	motif208|Ornament:SRSF2_7mer_logo3,motif570|Attract:LIN28A_506,motif534|Attract:SRSF2_s53,motif280|Ornament:SNRPA_7mer_logoM348,CISBP:SNRPA_M348_0.6,motif805|Attract:SNRPA_M348_0.6,motif339|Ornament:LIN28A_7mer_logoM035,Attract:LIN28A_M035_0.6,Ray2013:RNCMPT00036_LIN28A,CISBP:LIN28A_LIN28B_M035_0.6,motif941|Attract:SRSF2_M070_0.6,Ray2013:RNCMPT00072_SRSF2,CISBP:SRSF2_ENSG00000180771_M070_0.6,motif224|Ornament:SRSF9_7mer_logo0,motif686|Attract:HNRNPH2_943,Attract:SRSF9_1256,Attract:SRSF2_1162,Attract:HNRNPH1_891,motif788|Attract:HNRNPA1_648,Attract:SRSF2_1171
