GeneID	GSM6031960	GSM6031961	GSM6031962	GSM6031963
7799	7.448	10.42	6.905	5.854
23254	5.098	4.608	0.6974	0.5897
107985467	0	0.02057	0	0
107985468	0	0	0	0
105376762	0	0.06986	0	0
105376759	0	0	0	0
107985469	0	0	0	0
200197	0.01778	0.1498	0.05338	0.02458
55092	31.45	78.36	11.04	12.71
727684	0.09908	0.2347	0.04056	0.04109
114827	0.1547	3.578	0.4498	0.376
101927417	0.01329	0.9097	0.02177	0.1102
101927441	0.08182	0.09846	0.09092	0.07755
79180	55.44	136.2	86.27	101.2
11330	0	0	0	0
63036	0	0	0	0
105376767	0	0	0	0
51032	0.1808	0.2856	0.03701	0
842	3.259	3.297	6.151	6.043
23341	11.18	12.78	7.955	7.991
107397391	0	0	0.2437	0
79814	0.842	0.04222	0.02189	0.01108
84301	5.937	9.142	8.315	6.593
6248	6.764	11.46	8.825	7.267
23207	75.64	73.92	43.99	38.89
284723	0.1872	0.3745	0.4981	0.7063
110806303	0.3921	0.4128	0.1605	0.3252
388595	0.05734	0	0	0
54751	48.65	60.03	17.08	17.01
440567	26.83	31.41	43.06	39.79
729614	2.029	3.125	3.099	2.549
23013	31.71	34.38	25.21	17.21
7709	18.3	25.32	15.76	12.03
149563	0.02722	0	0	0
27129	0.03685	0.02586	0	0
1187	0.09964	0.08742	0.1224	0.08263
1188	0.04224	0.4447	0.01153	0.03503
348487	3.608	5.292	3.82	2.174
1969	121.3	156.5	102.9	73.32
101927479	0.3471	0.4817	0.3811	0.4383
128272	5.045	8.17	4.74	5.05
101927546	0.169	1.105	0.02912	0.059
79363	1.971	3.655	4.364	3.956
54455	10.39	13.26	9.367	8.901
26099	114.7	92.54	81.81	72.52
374955	21.27	18.45	15.02	12.26
55707	40.69	65.78	24.91	26.21
107984921	0.8159	0.5637	0.5845	0.592
114819	1.734	1.485	2.366	2.064
26871	1.009	0.5312	0.413	0.4184
107985757	0	0	0	0
100132147	0.2408	0	0.701	0.8654
107985758	0.5745	0	0.9408	0.953
7195	0	0	0	0
55672	11.28	8.573	15.17	12.05
105376794	4.554	6.691	13.43	12.82
84809	8.578	13.42	20.94	16.79
11209	0.3296	0.5783	2.608	2.186
107985736	0.133	0.1245	0.0363	0.02451
26869	0.5045	1.062	0.2065	0.4184
107985759	0	0	0	0
284729	0.06159	0.02162	0.01681	0
100189045	0	0	0	0
6060	0.5045	1.593	0.2065	0.4184
11223	0.1772	0.1213	0.5442	0.4777
100500876	0	0	0	0
100189298	0	0	0	0
112267871	0.3202	0.2697	1.783	1.195
7193	1.149	0	1.411	0
100189183	0	0	0	0
105376805	2.495	0	12.79	11.65
791226	0	0	0	0
26870	0.7567	0.5312	0.413	0.4184
9696	3.326	3.956	4.581	3.895
4237	16.22	0.5185	0.2016	0.1459
105376806	7.398	0	0.08531	0
23400	17.84	26.84	29.84	23.74
6390	156.5	183	263.7	255.4
11240	0.9551	0.9867	2.066	1.539
105376808	0	0	0	0
400743	7.783	12.48	1.091	0.5815
29943	0.7275	0.647	0.3296	0.05857
51702	1.221	0.7953	0.03289	0.01333
100616188	0	0	0	0
23569	0.6176	2.457	0	0.04553
353238	0	0.07271	0	0
55920	119.2	157.4	87.57	77.84
55160	1.692	1.72	3.162	2.789
107984028	0	0	0	0
81569	0.08442	0	0	0.03501
105376809	0	0	0	0
105376812	0	0	0	0
101927876	0	0.03525	0	0
84966	0.01773	0.03734	0	0
105376814	0	0	0	0
127707	0.1061	0.05154	0	0
5081	0	0	0	0
80834	0.04923	0.05183	0	0
8659	12.35	7.03	13.25	10.98
100616120	0	0	0	0
100302276	0	0	0	0
126917	6.153	7.655	20.48	9.589
105376815	0	0	0	0
23352	44.22	67.65	25.4	12.86
101927895	17.27	15.31	11.33	8.586
23065	70.87	58.43	37.61	34.36
51154	47.28	63.85	59.08	56.3
246181	0.2102	0.3872	0.6309	0.6246
22977	0.4403	0.5794	1.126	1.43
100506730	2.741	2.904	2.68	2.452
8574	38.73	39.06	14.42	12.12
54896	8.488	11.42	5.727	4.737
832	179.3	119.3	89.1	97.63
105376819	0	0.1025	0	0
105376818	0	0	0	0
105376817	0.06798	0	0	0
105378614	0	0	0	0
440574	11.31	10.9	13.86	12.67
100532736	24.79	29.41	21.76	18.99
644068	5.973	4.262	0.9296	1.064
4681	15.37	19.23	12.81	11.44
3362	0.06532	0.02292	0.4011	0.3521
255104	4.572	5.154	5.162	4.671
54546	0	0	0	0
105376823	0.2016	0.2123	0	0
23252	6.565	5.927	9.485	7.645
30814	0	0	0	0
5320	0.04028	0.1696	0	0
5322	0	0.02515	0	0
26279	0	0.03249	0	0
64600	0.04553	0	0	0
391013	0	0	0	0
127733	0	0	0	0
101928017	0	0	0	0
105376825	0	0	0	0
105376826	0	0	0	0
105376827	0	0	0	0
105376828	0	0	0	0
127731	0.003427	0	0	0
339505	0	0	0	0
55450	19.87	38.24	44.18	49.32
79594	22.32	27.34	17.06	15.08
163933	0.4901	0.5871	1.799	1.429
978	2.966	8.237	0.6698	3.859
65018	39.81	31.7	35.33	35.3
102464833	27.45	14.25	22.48	19.02
100861548	16.98	15.48	16.71	18.34
1650	307.8	249	220.2	210.6
57576	2.732	1.108	1.64	0.9819
400745	15.84	11.15	12.4	10.71
112268222	28.16	19.14	16	16.03
50809	85.27	60.14	45.86	45.81
8672	65.65	45.57	51.86	44.99
105376830	0.07538	0.2381	0.07406	0.06251
105376829	0.336	0.3538	0.08254	0
100302155	0	0	0	0
1889	71.23	114.1	37.53	39.7
100506801	0.1125	0.06768	0.3553	0.2799
105376832	0	0	0	0
84224	5.874	7.685	4.98	4.72
249	0.4247	0.3084	0.02398	0.1093
105376834	0	0	0	0
5909	3.161	2.741	5.137	4.464
84196	28.66	30.56	21.21	21.06
401944	16.43	24.81	3.008	2.023
3339	44.66	62.83	8.621	6.469
23436	0	0	0	0
10136	0	0	0	0
101928043	0.6519	0.7488	1.698	1.425
29092	13.92	14.34	10.71	11.49
112268223	1.097	0.9333	0.4838	0.7001
998	54.05	47.84	31.73	33.38
54361	0.2094	0.124	0.4554	0.4558
105376845	2.009	0.1627	0.2892	0.2746
105376850	0.3326	0.02918	0.03404	0.02299
107985377	0.1199	0	0	0
100616433	0	0	0	0
105376856	0	0.4481	0	0
9923	9.982	18.36	14.46	12.05
2046	0.0331	0.03486	0.005421	0
102466615	0	0	0	0
712	0	0	0	0
714	0	0	0	0
713	0	0.06963	0	0
2048	20.22	14.84	4.969	3.079
100616391	0	0	0	0
100422914	93.08	60.85	18.93	10.59
646262	0	0	0	0
729059	0.4848	0	0.2646	0.201
23028	81.36	72.1	79.88	68.11
100422866	0	0	0	0
7798	24.49	33.55	17.08	13.57
3352	5.676	1.413	9.39	6.583
100996511	2.097	1.985	1.765	1.681
10236	80.42	72.62	93.79	86.1
80818	7.727	9.41	6.433	6.294
148898	1.846	1.366	1.806	1.148
6920	0.1631	0.9446	0.9482	0.8387
55616	10.33	13	8.143	6.896
1870	4.774	10.4	8.68	7.729
101928163	0.4437	0.7906	0.5589	0.5661
105376859	0.169	0.1526	1.384	2.143
3399	108.8	110	154.9	104.7
107984928	0.07474	0	0.06119	0.06198
259283	0.02934	0	0	0
6135	2796	1612	2055	1903
6924	36.35	47.36	38.59	42.89
100506963	14.39	17.72	11.28	11.17
57095	49.4	90.94	28.23	24.91
105376860	6.73	7.086	4.922	4.391
11313	30.37	37.91	26.58	24.38
2582	21.22	22.22	18.27	17.46
3155	25.47	22.05	16.77	16.28
105376861	0.4584	0.2413	0.5629	0.5227
2517	9.845	11.46	9.275	8.195
1269	0	0	0	0
107984929	0	0	0	0
100616492	0	0	0	0
55629	78.01	123.6	84.32	86.75
10772	22.41	33.56	27.5	28.21
105378615	0	0	0	0
105376863	0.06988	0.03679	0.1144	0
107984931	0.2311	0	0	0
127294	0.079	0.09074	0.03528	0.01787
107985737	0	0	0	0
105376864	0	0	0	0
58985	1.535	5.551	3.537	3.642
163702	1.518	3.556	1.954	1.575
284632	0	0	0	0
105376871	0.08684	0.1164	0.01293	0
57822	1.624	0.1353	0.02869	0.03875
90529	1.562	2.004	7.559	7.327
57185	14.76	13.61	13.38	10.17
100750325	0.07805	0.2465	0.1278	0
11123	6.707	3.769	5.51	5.586
100506985	0.8078	0.2238	1.149	1.023
400746	0.02625	0	0	0
10250	106.6	121.7	61.07	66.65
25932	528	260.4	206.2	143.3
105376876	0	0	0	0
864	1.898	2.754	18.88	18.2
102465437	0	0	0	0
107984932	0.1123	0.02955	0.2987	0.3026
105376878	0.1123	0.1732	0.1432	0.1537
100616365	0	0	0	0
105376879	0	0	0	0
25949	65.71	62.54	61.9	60.69
57035	11.96	31.86	15.62	13.29
105376882	0.04225	0	0.03459	0.07009
6007	0.2037	0.4503	0.4419	0.5828
23585	68.36	111.5	84.59	102.4
6006	15.84	31.37	17.6	22.06
55219	21.87	29.45	14.56	13.77
26119	9.908	11.24	10.21	9.078
57134	0.234	0.4235	1.096	0.928
57190	57.62	56.97	51.65	46.78
56181	32.35	21.46	11.2	10.04
646471	2.888	2.087	1.335	1.136
79000	18.5	25.34	8.003	7.765
164091	13.9	7.905	31.58	29.02
3925	336.4	271.2	437.9	467.4
100500808	462.6	252.4	449.4	375.5
105376885	0	0	0	0.07887
5051	7.049	5.581	11.37	13.11
101928216	0.3072	0.5951	0.1308	0.1121
2134	0.5889	0.725	0.1929	0.2029
7780	0.1528	0.02681	0.0417	0
105376910	0	0	0	0
84676	0.3099	0.3263	0	0.04818
149420	3.296	3.181	6.426	4.891
105376886	0.06577	0	0	0.05454
79927	0.05912	0	0.2541	0.2084
110806296	0	0	0.04445	0.09004
51042	81.83	100.4	116.1	93.08
10256	0.3884	1.125	0.7288	0.9261
378807	0	0	0	0
101928303	0	0	0.03142	0.1273
64793	28.34	38.62	31.98	30.73
83442	832.4	689.5	409.7	522.8
91544	13.76	19.91	30.16	25.07
1043	4.252	0.3731	0	0
55057	0.5546	0.473	0.2989	0.3085
257101	0.07322	0	0	0
79727	0.08245	0	0.03375	0.01709
79947	30.33	41.1	29.53	27.3
101928324	0.4749	0.1667	0.5616	0.8752
3151	629.7	403.7	487.5	483.3
6195	30.89	28.01	19.31	18.04
100302190	0	0	0	0
105376888	0	0.1011	0	0
101928728	0.5399	0.7449	3.262	3.875
8289	75.03	68.54	105	79.64
55650	5.152	25.41	15.62	17.69
84243	26.51	20.33	21.09	18.12
2810	10.31	9.857	0.4143	0.1311
54707	13.74	14.71	14.56	13.54
63906	16.61	26.15	17.42	15.9
10726	123.7	210.8	212.5	217.4
8431	0.05132	0	0	0
126695	0.08311	0.04375	0	0
388610	38.72	41.26	21.96	21.39
115572	13.42	5.54	8.915	6.236
101928391	0.04221	0.5778	0.03456	0.07001
6548	24.99	39.08	26.06	25.42
102723760	0	0	0	0
105376890	0	0	0	0.09016
23038	28.18	25.73	39.78	37.45
84065	25.61	26.54	36.72	29.32
644961	1.794	0.854	1.494	1.41
84958	2.35	0.6988	0.2497	0.08926
9064	17	19.09	19.39	16.94
8547	0.1561	0	0.03195	0.06473
388611	0.3327	0.759	0	0
2827	9.659	12.98	9.858	12.57
10163	120.4	72.83	112.8	96.15
105376892	0.05971	0.03144	0	0
27245	16.39	12.12	13.26	9.163
2268	0.0713	0.1627	0	0
111216282	0.2814	2.963	0	0
2537	358.7	3753	48.75	49.6
199870	4.197	5.743	4.629	4.703
23673	28.77	37.47	35.43	35.65
5511	47.91	50.04	50.13	49.89
677774	0.4984	0.7871	0.6121	0.2067
9473	7.409	22.75	0.1238	0.1505
6118	90.89	116.4	79.67	80.17
27293	1.462	1.386	2.823	2.193
55113	5.891	3.223	0.1537	0.0958
2140	11.37	16.11	19.34	18.33
5724	0.6187	1.832	0.1346	0.09621
22826	182.8	187.9	176.7	180.9
93974	114	100.9	79.03	78.06
83667	18.37	16.54	60.94	44.34
54797	12.43	12.29	16.62	18.53
65979	39.48	42.62	40.77	37.22
1104	77.94	93.61	128.4	113.1
8420	44.15	46.82	122.1	119.5
6080	15.39	6.944	27.32	35.63
26768	11.91	6.586	22.8	32.63
54952	22.5	13.34	17.95	18.05
85028	19.26	38.93	20.9	23.28
692212	13.96	35.93	33.02	38.6
677838	12.09	36.85	25.01	36.95
677825	5.641	8.909	8.467	13.77
692073	9.261	22.75	20.73	27.65
115273	1.492	0.04029	0.03133	0.238
6883	32.53	30.31	37.17	37.21
105378616	0.3333	0.156	0.3942	0.43
26824	0	0	0.5018	0.5083
10691	9.682	7.966	8.765	9.21
51441	66.74	84.23	79.76	74.1
4985	0.0222	0.02805	0.02908	0.02209
2035	7.093	6.709	13.35	11.98
399474	21.85	21.72	32.53	26.41
6429	155.8	198.4	111.9	107.1
51102	10.29	12.63	18.1	15.39
10076	4.768	12.41	11.85	9.809
101928460	0	0	0	0
107984933	0	0	0	0
107984934	0	0	0	0
101929406	0	0	0	0
105378617	0	0	0	0
105378618	0	0	0	0
4146	0.1944	0.58	0.3979	0.3493
100129196	0.4843	0.9773	2.131	2.075
7805	1.42	1.592	0.0302	0.06118
100616164	0	0	0	0
105378620	0	0.01185	0	0
105378621	0	0	0	0
105378622	0.1622	0.5551	0	0.06727
400748	0	0	0	0.02388
9672	37.33	35.48	34.94	35.36
9698	90.58	112.4	77.61	68.51
692234	3.291	9.404	2.309	2.729
692235	3.291	8.909	2.309	2.729
692200	0	0.5807	1.355	0.9149
107984935	2.599	0.4561	1.419	1.078
79570	0.1218	0.5385	0.2094	0.08079
9410	94.21	134.9	122.8	122.3
51538	36.43	47.31	38.46	38.41
2170	0.4694	0.3295	0.2329	0.1416
105378623	0	0	0	0
107985470	0	0.05975	0.04646	0
347735	25.13	13.71	118.1	60.02
105378625	0	0	0	0
105379772	0	0	0	0
149086	0.03915	0	0	0
284551	0.1207	0.09534	0	0
105378626	0.2707	0.5024	0.7464	0.2599
64129	8.631	19.99	59.29	19.13
3061	2.19	2.611	2.346	2.228
553115	31.14	33.94	29.43	27.78
107985471	2.532	2.263	1.955	1.981
105378628	0.1353	0.1425	0.1108	0.1122
1307	2.603	5.454	1.798	3.064
101929444	0.4782	0.5874	0.8483	1.058
576	5.247	20.77	21.67	19.6
100423028	0	0	0.8913	1.354
90853	9.236	79.14	1.905	2.972
8073	112.9	120.3	155.2	212.8
10657	205.2	161.9	203.6	186.3
55116	17.53	22.42	27.43	25.71
100847018	0	0	0	0
23633	47.2	46.91	65.84	62.67
200081	61.03	78.78	72.6	65.6
79140	4.364	3.112	8.367	8.256
56063	3.377	4.009	6.617	6.644
55721	8.431	10.99	13.43	11.55
