Reference	HEK293_PSI_Rep1	HEK293_PSI_Rep2	HEK293_WT_PSI_Rep1	HEK293_WT_PSI_Rep2	HeLa_PSI_Rep1	HeLa_PSI_Rep2	K562_PSI_Rep1	K562_PSI_Rep2	MCF7_PSI_Rep1	MCF7_PSI_Rep2	HMC3_PSI_Rep1	HMC3_PSI_Rep2
145716	0.37551020408163266	0.45794392523364486	-1.0	-1.0	0.7741935483870968	0.8666666666666667	0.5435897435897435	0.37735849056603776	0.5263157894736842	0.5375	0.7842565597667639	0.6864988558352403
145717	0.373134328358209	0.5172413793103449	-1.0	-1.0	0.8873239436619719	0.9090909090909091	0.7608695652173914	0.5217391304347826	0.65625	0.5882352941176471	0.8409090909090909	0.8518518518518519
145722	0.056451612903225805	0.08683473389355742	-1.0	-1.0	0.2857142857142857	0.3611111111111111	0.11553784860557768	0.10416666666666667	0.10869565217391304	0.12195121951219512	0.13402061855670103	0.21256038647342995
146497	0.5533980582524272	0.6296296296296297	-1.0	-1.0	0.7761194029850746	0.85	0.69	0.9047619047619048	0.7083333333333334	0.7352941176470589	0.8627450980392157	0.8888888888888888
146499	0.5483870967741935	0.6037735849056604	-1.0	-1.0	0.7611940298507462	0.8333333333333334	0.6708860759493671	0.9069767441860465	0.6875	0.625	0.8985507246376812	0.9506172839506173
146500	0.5873015873015873	0.6582278481012658	-1.0	-1.0	0.8666666666666667	0.875	0.8113207547169812	0.9565217391304348	0.8266666666666667	0.7419354838709677	0.9545454545454546	0.8934426229508197
146501	0.44545454545454544	0.5310734463276836	-1.0	-1.0	0.6915887850467289	0.65625	0.6651162790697674	0.7815126050420168	0.6171875	0.6521739130434783	0.8325581395348837	0.8407079646017699
146502	0.5913978494623656	0.7548387096774194	-1.0	-1.0	0.8653846153846154	1.0	0.8222222222222222	0.8545454545454545	0.8051948051948052	0.9090909090909091	0.952755905511811	0.959731543624161
146505	0.10989010989010989	0.19387755102040816	-1.0	-1.0	0.36363636363636365	0.5333333333333333	0.33707865168539325	0.42424242424242425	0.45098039215686275	0.4166666666666667	0.6865671641791045	0.6352941176470588
146512	0.3742690058479532	0.5229357798165137	-1.0	-1.0	0.6642335766423357	0.6764705882352942	0.6044776119402985	0.835820895522388	0.5949367088607594	0.6451612903225806	0.8629032258064516	0.9066666666666666
146513	0.5457317073170732	0.7176470588235294	-1.0	-1.0	0.8909657320872274	0.84	0.7777777777777778	0.8866666666666667	0.743801652892562	0.74	0.9618320610687023	0.9083969465648855
146516	0.21686746987951808	0.2807017543859649	-1.0	-1.0	0.3611111111111111	0.5	0.27102803738317754	0.5227272727272727	0.3	0.36363636363636365	0.7540983606557377	0.7027027027027027
146517	0.7894736842105263	0.884393063583815	-1.0	-1.0	0.9545454545454546	0.925	0.9246231155778895	0.9553571428571429	0.8701298701298701	0.9032258064516129	0.972972972972973	0.9724409448818898
146522	0.75	0.7674418604651163	-1.0	-1.0	0.9145299145299145	0.8518518518518519	0.7653061224489796	0.9508196721311475	0.7746478873239436	0.8444444444444444	0.9541984732824428	0.9357142857142857
146523	0.746268656716418	0.851528384279476	-1.0	-1.0	0.9370629370629371	0.9565217391304348	0.8910256410256411	0.8970588235294118	0.9130434782608695	0.8181818181818182	0.9827586206896551	0.958904109589041
146525	0.631578947368421	0.6	-1.0	-1.0	0.9047619047619048	0.8095238095238095	0.7029702970297029	0.9767441860465116	0.6923076923076923	0.7096774193548387	0.9846153846153847	0.9629629629629629
146528	0.11650485436893204	0.192090395480226	-1.0	-1.0	0.3014705882352941	0.32	0.2710843373493976	0.38666666666666666	0.3253012048192771	0.3835616438356164	0.5966386554621849	0.5569620253164557
146536	0.5789473684210527	0.5888888888888889	-1.0	-1.0	0.7931034482758621	1.0	0.7555555555555555	0.9285714285714286	0.8	0.85	0.9411764705882353	0.9322033898305084
146542	0.6372549019607843	0.8	-1.0	-1.0	0.8476190476190476	0.9	0.8878504672897196	0.9607843137254902	0.7878787878787878	0.75	0.9696969696969697	0.9504950495049505
146544	0.5511363636363636	0.6307692307692307	-1.0	-1.0	0.8888888888888888	0.9142857142857143	0.6629213483146067	0.9264705882352942	0.8279569892473119	0.8823529411764706	0.9183673469387755	0.9111111111111111
146547	0.6	0.725	-1.0	-1.0	0.9767441860465116	0.9333333333333333	0.8387096774193549	0.96875	0.8648648648648649	0.7647058823529411	0.9782608695652174	0.9428571428571428
146552	0.6052631578947368	0.7241379310344828	-1.0	-1.0	0.8823529411764706	1.0	0.8292682926829268	0.9545454545454546	0.8461538461538461	0.8636363636363636	0.9534883720930233	0.9787234042553191
146554	0.6224489795918368	0.6962025316455697	-1.0	-1.0	0.8591549295774648	0.8571428571428571	0.7313432835820896	0.9696969696969697	0.7321428571428571	0.696969696969697	0.9054054054054054	0.9381443298969072
146560	0.6139534883720931	0.7560975609756098	-1.0	-1.0	0.8636363636363636	0.9333333333333333	0.7906976744186046	0.9175257731958762	0.8489208633093526	0.7920792079207921	0.9502262443438914	0.9314516129032258
146563	0.5503875968992248	0.6458333333333334	-1.0	-1.0	0.8404907975460123	0.875	0.7848101265822784	0.8865979381443299	0.6643356643356644	0.7301587301587301	0.8910891089108911	0.9282296650717703
146569	0.7466666666666667	0.8461538461538461	-1.0	-1.0	0.9444444444444444	1.0	0.9875	1.0	0.8372093023255814	0.9411764705882353	0.9859154929577465	0.9882352941176471
146573	0.5232558139534884	0.6394849785407726	-1.0	-1.0	0.8451612903225807	0.9	0.7516778523489933	0.9078947368421053	0.7570093457943925	0.8450704225352113	0.9776119402985075	0.861878453038674
146578	0.38823529411764707	0.512	-1.0	-1.0	0.7361111111111112	1.0	0.6428571428571429	0.8070175438596491	0.7272727272727273	0.7142857142857143	0.8795180722891566	0.8446601941747572
146579	0.5272727272727272	0.7727272727272727	-1.0	-1.0	0.9302325581395349	0.8181818181818182	0.9375	0.9259259259259259	0.7333333333333333	1.0	0.9791666666666666	1.0
146580	0.6140350877192983	0.7184115523465704	-1.0	-1.0	0.9085714285714286	0.8846153846153846	0.8103448275862069	0.883495145631068	0.7555555555555555	0.9	0.9666666666666667	0.9166666666666666
146582	0.42105263157894735	0.6704545454545454	-1.0	-1.0	0.7128712871287128	0.7878787878787878	0.7280701754385965	0.9074074074074074	0.872093023255814	0.7543859649122807	0.9339622641509434	0.8814814814814815
146583	0.3425925925925926	0.45901639344262296	-1.0	-1.0	0.6209677419354839	0.7222222222222222	0.5659340659340659	0.7313432835820896	0.5420560747663551	0.4852941176470588	0.8128654970760234	0.75
146587	0.5551470588235294	0.6943620178041543	-1.0	-1.0	0.8482142857142857	0.9818181818181818	0.8055555555555556	0.8795180722891566	0.7560975609756098	0.8181818181818182	0.9623430962343096	0.9404761904761905
146589	0.17040358744394618	0.3726027397260274	-1.0	-1.0	0.5700934579439252	0.5306122448979592	0.39661016949152544	0.5576923076923077	0.5486111111111112	0.5180722891566265	0.7836538461538461	0.7175572519083969
146598	0.6216216216216216	0.7087378640776699	-1.0	-1.0	0.8549618320610687	0.7714285714285715	0.8623853211009175	0.971830985915493	0.75	0.671875	0.9590163934426229	0.9415204678362573
146601	0.27906976744186046	0.4517766497461929	-1.0	-1.0	0.6287878787878788	0.7142857142857143	0.6069651741293532	0.7746478873239436	0.5903614457831325	0.6923076923076923	0.83125	0.8023255813953488
146602	0.12121212121212122	0.16339869281045752	-1.0	-1.0	0.325	0.38461538461538464	0.16129032258064516	0.35	0.425	0.4838709677419355	0.6696428571428571	0.6744186046511628
146607	0.6865671641791045	0.8634453781512605	-1.0	-1.0	0.9403341288782816	0.956989247311828	0.8940397350993378	0.9289099526066351	0.8631921824104235	0.8995983935742972	0.9737302977232924	0.9435626102292769
146609	0.6170212765957447	0.7105263157894737	-1.0	-1.0	0.7894736842105263	-1.0	0.8888888888888888	0.84	0.8214285714285714	0.8387096774193549	0.9125	0.9393939393939394
146619	0.5606060606060606	0.7666666666666667	-1.0	-1.0	0.9056603773584906	0.9333333333333333	0.8709677419354839	0.9666666666666667	0.7872340425531915	0.7333333333333333	0.9655172413793104	0.9634146341463414
146620	0.4489795918367347	0.5909090909090909	-1.0	-1.0	0.8461538461538461	-1.0	0.6666666666666666	0.95	0.76	-1.0	0.9375	0.9354838709677419
146621	0.6666666666666666	0.6933333333333334	-1.0	-1.0	0.8958333333333334	-1.0	0.851063829787234	0.9545454545454546	0.8275862068965517	0.7368421052631579	0.9210526315789473	0.96
146622	0.8317757009345794	0.9050279329608939	-1.0	-1.0	0.96	1.0	0.9714285714285714	0.9444444444444444	0.8536585365853658	0.825	1.0	0.9802631578947368
146623	0.38235294117647056	0.5128205128205128	-1.0	-1.0	0.7261904761904762	0.4117647058823529	0.6138613861386139	0.8333333333333334	0.7049180327868853	0.6285714285714286	0.8	0.8450704225352113
146628	0.4157303370786517	0.5042016806722689	-1.0	-1.0	0.6438356164383562	0.75	0.6024096385542169	0.84	0.5849056603773585	0.6521739130434783	0.8589743589743589	0.9080459770114943
146635	0.6538461538461539	0.8055555555555556	-1.0	-1.0	0.9072847682119205	0.9310344827586207	0.8384615384615385	0.9651162790697675	0.7468354430379747	0.7792207792207793	0.9555555555555556	0.9285714285714286
146636	0.5	0.5851063829787234	-1.0	-1.0	0.7547169811320755	0.7857142857142857	0.6625	0.9166666666666666	0.6976744186046512	0.8076923076923077	0.8987341772151899	0.9509803921568627
146639	0.6966292134831461	0.7396694214876033	-1.0	-1.0	0.927007299270073	0.9090909090909091	0.8548387096774194	0.9489795918367347	0.8367346938775511	0.9253731343283582	0.98125	0.9447852760736196
146640	0.7710843373493976	0.8278688524590164	-1.0	-1.0	0.8947368421052632	1.0	0.8771929824561403	0.9090909090909091	0.9090909090909091	0.90625	0.9841269841269841	0.9924242424242424
146646	0.24444444444444444	0.3310810810810811	-1.0	-1.0	0.5075757575757576	0.5285714285714286	0.41916167664670656	0.635593220338983	0.5816993464052288	0.5648148148148148	0.7378277153558053	0.7327327327327328
146649	0.2692307692307692	0.46153846153846156	-1.0	-1.0	0.7285714285714285	-1.0	0.5058823529411764	0.918918918918919	0.6666666666666666	0.6111111111111112	0.8452380952380952	0.782051282051282
146654	0.7675675675675676	0.8477157360406091	-1.0	-1.0	0.8767123287671232	1.0	0.8780487804878049	0.9444444444444444	0.8705882352941177	0.8958333333333334	0.9559748427672956	0.9683544303797469
146659	0.5	0.6037037037037037	-1.0	-1.0	0.8333333333333334	0.7894736842105263	0.7167630057803468	0.8918918918918919	0.7450980392156863	0.7313432835820896	0.875	0.9138755980861244
146660	0.6	0.6923076923076923	-1.0	-1.0	0.9166666666666666	-1.0	0.9047619047619048	0.75	0.8181818181818182	-1.0	1.0	1.0
146662	0.6410256410256411	0.696969696969697	-1.0	-1.0	0.9130434782608695	1.0	0.851063829787234	1.0	0.6363636363636364	0.8	0.95	0.9605263157894737
146663	0.7848101265822784	0.879746835443038	-1.0	-1.0	0.972972972972973	0.8571428571428571	0.8625954198473282	1.0	0.9081632653061225	0.9272727272727272	0.9863013698630136	0.9698795180722891
146666	0.6964285714285714	0.6585365853658537	-1.0	-1.0	0.7735849056603774	0.8181818181818182	0.7021276595744681	0.9166666666666666	0.7894736842105263	0.7368421052631579	0.975609756097561	1.0
146673	0.5362318840579711	0.7692307692307693	-1.0	-1.0	0.864406779661017	0.8333333333333334	0.8809523809523809	0.9047619047619048	0.6818181818181818	0.95	0.9523809523809523	0.9622641509433962
146678	0.925	0.9603960396039604	-1.0	-1.0	1.0	0.9473684210526315	0.9850746268656716	1.0	0.9506172839506173	0.9642857142857143	1.0	1.0
146679	0.7588652482269503	0.8787878787878788	-1.0	-1.0	0.9738562091503268	0.9411764705882353	0.935064935064935	0.9333333333333333	0.8311688311688312	0.9038461538461539	1.0	0.9615384615384616
146680	0.648	0.7619047619047619	-1.0	-1.0	0.8968253968253969	0.9411764705882353	0.7933884297520661	0.967032967032967	0.8987341772151899	0.7619047619047619	0.950920245398773	0.9576719576719577
146682	0.5777777777777777	0.7307692307692307	-1.0	-1.0	0.9333333333333333	0.75	0.7931034482758621	0.9032258064516129	0.7631578947368421	0.65	1.0	0.9846153846153847
146687	0.8514851485148515	0.8675078864353313	-1.0	-1.0	0.9712918660287081	0.9772727272727273	0.9458333333333333	0.990909090909091	0.9328358208955224	0.8681318681318682	0.9776785714285714	0.9761904761904762
