motif238	Ornament:TRA2A_7mer_logo0
motif239	Ornament:TRNAU1AP_7mer_logo0
motif240	Ornament:TRNAU1AP_7mer_logo2
motif241	Ornament:DAZ3_7mer_logo0
motif242	Ornament:TRNAU1AP_7mer_logo1
motif243	Ornament:UNK_7mer_logo3
motif244	Ornament:UNK_7mer_logo2
motif245	Ornament:UNK_7mer_logo1
motif246	Ornament:UNK_7mer_logo0
motif247	Ornament:ZCRB1_7mer_logo1
motif248	Ornament:ZCRB1_7mer_logo0
motif249	Ornament:ZFP36_7mer_logo0
motif250	Ornament:ZNF326_7mer_logo3
motif251	Ornament:ZNF326_7mer_logo2
motif252	Ornament:DAZAP1_7mer_logo2
motif253	Ornament:ZNF326_7mer_logo1
motif254	Ornament:ZNF326_7mer_logo0
motif255	Ornament:CNOT4_7mer_logo1
motif256	Ornament:FUBP1_7mer_logo3
motif257	Ornament:HNRNPC_7mer_logo1
motif258	Ornament:ZNF638_7mer_logoM155/Attract:ZNF638_M155_0.6/Ray2013:RNCMPT00164_ZNF638/CISBP:ZNF638_M155_0.6
motif259	Ornament:ZC3H14CONSTRUCT_7mer_logoM084/Ray2013:RNCMPT00086_ZC3H14
motif260	Ornament:ZC3H10_7mer_logoM083/Attract:ZC3H10_M083_0.6/Ray2013:RNCMPT00085_ZC3H10/CISBP:ZC3H10_M083_0.6
motif261	Ornament:YBX2_7mer_logoM082/Attract:YBX2_M082_0.6/Ray2013:RNCMPT00084_YBX2/CISBP:YBX2_M082_0.6
motif262	Ornament:YB1_7mer_logoM111/Attract:YBX1_M111_0.6/Ray2013:RNCMPT00116_YBX1/CISBP:YB-1_M111_0.6
motif263	Ornament:DAZAP1_7mer_logo1
motif264	Ornament:YB1_7mer_logoM081/Attract:YBX1_M081_0.6/Ray2013:RNCMPT00083_YBX1/CISBP:CSDA_YB-1_M081_0.6
motif265	Ornament:U2AF2_7mer_logoM077/Attract:U2AF2_M077_0.6/Ray2013:RNCMPT00079_U2AF2/CISBP:U2AF2_M077_0.6
motif266	Ornament:DAZAP1_7mer_logo0
motif267	Ornament:TIA1_7mer_logoM156/Attract:TIA1_M156_0.6/Ray2013:RNCMPT00165_TIA1/CISBP:TIA1_M156_0.6
motif268	Ornament:TIA1_7mer_logoM075/Attract:TIA1_M075_0.6/Ray2013:RNCMPT00077_TIA1/CISBP:TIA1_M075_0.6
motif269	Ornament:EIF4G2_7mer_logo3
motif270	Ornament:STARPAP_7mer_logoM073/Attract:TUT1_M073_0.6/Ray2013:RNCMPT00075_TUT1/CISBP:STAR-PAP_M073_0.6
motif271	Ornament:SRSF9_7mer_logoM072/Attract:SRSF9_M072_0.6/Ray2013:RNCMPT00074_SRSF9/CISBP:SRSF9_M072_0.6
motif272	Ornament:SRSF9_7mer_logoM065/Attract:SRSF9_M065_0.6/Ray2013:RNCMPT00067_SRSF9/CISBP:SRSF9_M065_0.6
motif273	Ornament:SRSF1_7mer_logoM273/CISBP:SRSF1_M273_0.6
motif274	Ornament:SRSF1_7mer_logoM154/Attract:SRSF1_M154_0.6/Ray2013:RNCMPT00163_SRSF1/CISBP:SRSF1_M154_0.6
motif275	Ornament:SRSF1_7mer_logoM105/Ray2013:RNCMPT00109_SRSF1/CISBP:SRSF1_M105_0.6
motif276	Ornament:SRSF1_7mer_logoM104/Attract:SRSF1_M104_0.6/Ray2013:RNCMPT00108_SRSF1/CISBP:SRSF1_M104_0.6
motif277	Ornament:EIF4G2_7mer_logo2
motif278	Ornament:SRSF1_7mer_logoM103/Attract:SRSF1_M103_0.6/Ray2013:RNCMPT00107_SRSF1/CISBP:SRSF1_M103_0.6
motif279	Ornament:SRSF1_7mer_logoM102/Attract:SRSF1_M102_0.6/Ray2013:RNCMPT00106_SRSF1/CISBP:SRSF1_M102_0.6
motif280	Ornament:SNRPA_7mer_logoM348/CISBP:SNRPA_M348_0.6
motif281	Ornament:SNRPA_7mer_logoM319/CISBP:SNRPA_M319_0.6
motif282	Ornament:SNRPA_7mer_logoM318/CISBP:SNRPA_M318_0.6
motif283	Ornament:SNRPA_7mer_logoM069/Attract:SNRPA_M069_0.6/Ray2013:RNCMPT00071_SNRPA/CISBP:SNRPA_M069_0.6
motif284	Ornament:SNRNP70_7mer_logoM068/Attract:SNRNP70_M068_0.6/Ray2013:RNCMPT00070_SNRNP70/CISBP:SNRNP70_M068_0.6
motif285	Ornament:EIF4G2_7mer_logo1
motif286	Ornament:SFPQ_7mer_logoM168/Attract:SFPQ_M168_0.6/Ray2013:RNCMPT00177_SFPQ/CISBP:SFPQ_PSPC1_M168_0.6
motif287	Ornament:sf3b4_7mer_logoM195/CISBP:SF3B4_M195_0.6
motif288	Ornament:SF1CONSTRUCT_mer_logoM063
motif289	Ornament:SART3_7mer_logoM062/Attract:SART3_M062_0.6/Ray2013:RNCMPT00064_SART3/CISBP:SART3_M062_0.6
motif290	Ornament:SAMD4A_7mer_logoM061/Attract:SAMD4A_M061_0.6/Ray2013:RNCMPT00063_SAMD4A/CISBP:SAMD4A_SAMD4B_M061_0.6
motif291	Ornament:EIF4G2_7mer_logo0
motif292	Ornament:Rbp1_7mer_logoM056/CISBP:SRSF3_M056_0.6
motif293	Ornament:RBMS3_7mer_logoM164/Attract:RBMS3_M164_0.6/Ray2013:RNCMPT00173_RBMS3/CISBP:RBMS3_M164_0.6
motif294	Ornament:RBMS3_7mer_logoM055/Attract:RBMS3_M055_0.6/Ray2013:RNCMPT00057_RBMS3/CISBP:RBMS3_M055_0.6
motif295	Ornament:RBMS1_7mer_logoM143/Attract:RBMS1_M143_0.6/Ray2013:RNCMPT00152_RBMS1/CISBP:RBMS2_RBMS1_ENSG00000213250_M143_0.6
motif296	Ornament:ELAVL4_7mer_logo1
motif297	Ornament:A1CF_7mer_logo2
motif298	Ornament:RBM46_7mer_logoM052/Attract:RBM46_M052_0.6/Ray2013:RNCMPT00054_RBM46/CISBP:RBM46_M052_0.6
motif299	Ornament:Rbm45_7mer_logoM209/Ray2013:RNCMPT00241_RBM45/CISBP:RBM45_M209_0.6
motif300	Ornament:RBM42_7mer_logoM142/Attract:RBM42_M142_0.6/Ray2013:RNCMPT00151_RBM42/CISBP:RBM42_M142_0.6
motif301	Ornament:RBM41_7mer_logoM051/Attract:RBM41_M051_0.6/Ray2013:RNCMPT00053_RBM41/CISBP:RBM41_M051_0.6
motif302	Ornament:Rbm38_7mer_logoM049/CISBP:RBM38_M049_0.6
motif303	Ornament:RBM28_7mer_logoM047/Attract:RBM28_M047_0.6/Ray2013:RNCMPT00049_RBM28/CISBP:RBM28_M047_0.6
motif304	Ornament:RBM24_7mer_logoM175/Attract:RBM24_M175_0.6/Ray2013:RNCMPT00184_RBM24/CISBP:RBM24_M175_0.6
motif305	Ornament:RBM8A_7mer_logoM054/Attract:RBM8A_M054_0.6/Ray2013:RNCMPT00056_RBM8A/CISBP:RBM8A_M054_0.6
motif306	Ornament:RBM6_7mer_logoM161/Attract:RBM6_M161_0.6/Ray2013:RNCMPT00170_RBM6/CISBP:RBM6_M161_0.6
motif307	Ornament:RBM5_7mer_logoM145/Attract:RBM5_M145_0.6/Ray2013:RNCMPT00154_RBM5/CISBP:RBM5_M145_0.6
motif308	Ornament:ELAVL4_7mer_logo0
motif309	Ornament:RBM5_7mer_logoM053/Attract:RBM5_M053_0.6/Ray2013:RNCMPT00055_RBM5/CISBP:RBM5_M053_0.6
motif310	Ornament:RBM4_7mer_logoM109/Attract:RBM14_M109_0.6/Ray2013:RNCMPT00113_RBM4/CISBP:RBM4_M109_0.6
motif311	Ornament:RBM4_7mer_logoM050/Attract:RBM14_M050_0.6/Ray2013:RNCMPT00052_RBM4/CISBP:RBM4B_RBM4_RBM4_M050_0.6
motif312	Ornament:RBM3_7mer_logoM048/Attract:RBM3_M048_0.6/Ray2013:RNCMPT00050_RBM3/CISBP:CIRBP_RBM3_M048_0.6
motif313	Ornament:RALY_7mer_logoM150/Attract:RALY_M150_0.6/Ray2013:RNCMPT00159_RALY/CISBP:RALY_M150_0.6
